"comname","est_year","COGy","COGx"
"gulf stream flounder",1997,40.1705126076183,-71.0155186838765
"gulf stream flounder",1998,40.5311911610591,-70.3562965291381
"gulf stream flounder",1999,40.3034045461504,-70.9366739263764
"gulf stream flounder",2000,40.537234646927,-70.7559215507724
"gulf stream flounder",2001,40.4317983226402,-71.5347713828378
"gulf stream flounder",2002,40.6782815408372,-70.6549542412134
"gulf stream flounder",2003,40.3872661000899,-71.4805164376206
"gulf stream flounder",2004,40.1066537626226,-71.0651866357568
"gulf stream flounder",2005,40.1935517660138,-71.7903595432027
"gulf stream flounder",2006,40.5465983950172,-70.2527891192155
"gulf stream flounder",2007,40.6886324815085,-69.940141591505
"gulf stream flounder",2008,40.1297309053013,-70.2239999593094
"gulf stream flounder",2009,40.1694185421299,-70.9484112759492
"gulf stream flounder",2010,40.2419655240198,-70.7388303073462
"gulf stream flounder",2011,40.2537224549228,-71.0729740414228
"gulf stream flounder",2012,40.3253323149076,-71.4351607057711
"gulf stream flounder",2013,40.0179573839251,-71.1268681916452
"gulf stream flounder",2014,40.2279277946029,-71.3609112037084
"gulf stream flounder",2015,39.5556728923754,-71.7338871288167
"gulf stream flounder",2016,40.2588755880909,-71.0630156919399
"gulf stream flounder",2017,40.2091224821017,-70.1563928440906
"gulf stream flounder",2018,40.2665559187413,-71.16434736053
"gulf stream flounder",2019,40.0968736631213,-71.3820984895295
"haddock",1970,41.8576235162668,-67.1680270278197
"haddock",1971,42.0506831929117,-68.1924961763005
"haddock",1972,42.1780793746331,-67.5494959733891
"haddock",1973,41.7703815011468,-67.5891864300014
"haddock",1974,41.8847118258206,-67.3118536010036
"haddock",1975,42.3282129548885,-67.7804412168732
"haddock",1976,42.0490939179272,-68.0768125803853
"haddock",1977,42.0668774487051,-67.3582926986368
"haddock",1978,41.996805822024,-67.6965260574042
"haddock",1979,41.9872551191591,-67.795632756244
"haddock",1980,41.8305285366484,-67.0435246991167
"haddock",1981,42.0298556675927,-67.3749581987316
"haddock",1982,41.9327757555084,-66.9713633704806
"haddock",1983,42.224376576391,-67.8043927031506
"haddock",1984,42.2717433047938,-66.7507207565434
